letter,Term,Definition,Committee,lastRevision
S,Specification,A document that states the requirements to which a given product or service must conform.,QIC (FSSB),2018-02-23
S,Specificity studies,"In context of probabilistic genotyping, studies performed to assess the ability of the probabilistic genotyping system to support true negatives over a broad variety of evidentiary typing results to include mixtures and low-level DNA template quantities. True negatives would correctly indicate the absence of an individual who is known not to contribute.",Biology (Biology / DNA),2018-02-23
S,Specificity studies,"In general, studies designed to determine the ability of a procedure to discriminate between two or more analytes.",Biology (Biology / DNA),2018-02-23
S,Specified requirement,"A stated need or expectation.  Specified requirements may be stated in normative documents such as regulations, standards and technical specifications.",QIC (FSSB),2018-02-23
S,Specimen,"The word specimen is used to avoid confusion with the word sample. A specimen in this article means a smaller part, or subsample, of some evidential source. For example, one may refer to a specimen of paint from the scene. This embodies the fact that one does not have a choice when selecting a specimen, and therefore one cannot be sure that the specimen is representative of the source.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Specimen Stub,"A sample holder / collection device for examination using SEM/EDS/WDS usually made of aluminum. The stub consists of a wide flat sample surface and a pin or other type of fitting for mounting on the SEM stage. For GSR sampling, an adhesive material is applied to the sample surface of the specimen stub.",Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
S,Spectral Artefacts,"Spectral peaks other than characteristic peaks, produced during the EDS detection process. Examples are escape peaks and sum peaks.",Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
S,Spectral Calibration,An examination of the contribution of overlap in the emission spectrum of fluorescent dyes used for a specific DNA test on a capillary electrophoresis instrument; permits the color deconvolution necessary for multi-color STR typing or sequencing to be performed; a poor spectral calibration may cause artifact peaks or inaccurate peak height determinations.,Biology (Biology / DNA),2018-02-23
S,Spectral Resolution,"The ability to distinguish between adjacent peaks in an x-ray spectrum. It is usually determined by measuring peak width at half the maximum value of the peak height, also known as “full-width-half-maximum” (FWHM).",Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
S,Spectrometer,An instrument designed to measure the amount and wavelength distribution of light either absorbed or emitted by a sample.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spectroscopy,A set of techniques which measure the amount and wavelength distribution of light either absorbed or emitted by a sample.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spectroscopy,An analytical technique used to identify elements an/or atomic and molecular structure by measurement of the radiant energy absorbed or emitted by a substance in any of the wavelengths of the electromagnetic spectrum.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spectroscopy,In the most general sense spectroscopy is the study of the absorption or emission of electromagnetic energy by a chemical species as a function of the energy incident upon that species.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
S,Sperm cell fraction,See Differential extraction.,Biology (Biology / DNA),2018-02-23
S,Spice,A mixture of plant materials fortified with synthetic chemicals that mimic the effect of cannabis when smoked by users.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spike,An anomalous peak that can occur in capillary electropherograms and may interfere with data interpretation; this instrumental artifact is typically narrow and produces signal in multiple dye channels.,Biology (Biology / DNA),2018-02-23
S,Spoil bank,"Rock waste, banks, and dump depositions resulting from the excavation of ditches and strip mines.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spoliation,"Loss, destruction, or material alteration of an object or document that is evidence or potential evidence in a legal proceeding by one who has the responsibility for its preservation.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spontaneous combustion,See spontaneous ignition.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spontaneous heating,An exothermic chemical or biological process that may generate enough heat to ignite the reacting material (spontaneous ignition).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spontaneous heating,The process whereby a material increases in temperature without drawing heat from its surroundings.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spontaneous ignition,Initiation of the combustion of a material by an internal chemical or biological action that has produced sufficient heat to ignite the material.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Spontaneous recovery,The tendency of a behavior to reappear after it has undergone extinction.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Spoofing,"In facial identification, the process by which an imposter intentionally attempts to be recognized as another person in a biometric system or intentionally attempts to be missed as an existing identity in the gallery.",Facial Identification (Digital / Multimedia),2018-02-23
S,Spray,Type of extraneous or undesirable ink dot near the printed zones which originate from the printhead.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
S,Sprue,The piece of material that represents the passageway where the molding material was injected into the mold to form an outsole and remains attached to the outsole at that point.  The sprue is removed before sale.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Sprue Mark,A small circular mark left on the surface of the back of the heel of the outsole after the sprue has been removed.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Stability,An analyte’s resistance to chemical change in a matrix under specific conditions for given time intervals.,Chemistry (Chemistry / Instrumental Analysis)Toxicology (Chemistry / Instrumental Analysis),2018-02-23
S,Stack effect,See chimney effect.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Staged / staging area,A location separate from the search site designated for canine handlers to wait until they are called to search.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Stamina,"The ability of an organism to exert effort and remain active for a long period of time, as well as its ability to resist, withstand, recover from fatigue.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Standard,An established or widely recognized model of authority or excellence as a reference point against which other things can be evaluated or the ideal in terms of which something can be judged.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Standard,See Test impression.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Standard,Material of established origin with certified properties.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Standard,"A document, established by consensus and approved by a recognized body, that provides, for common and repeated use, rules, guidelines or characteristics for activities or their results, aimed at the achievement of the optimum degree of order in a given context..",QIC (FSSB),2018-02-23
S,Standard,"A material of established origin with certified properties which may include the metric, specification, gauge, statement, category, segment, grouping, behavior, event or physical product sample against which the outputs of a process are compared and declared acceptable or unacceptable.",QIC (FSSB),2018-02-23
S,Standard Additions,"A procedure by which a known concentration of the target analyte is added to multiple aliquots of the unknown sample, for which the matrix has not been validated for a particular method.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
S,Standard Additions,A procedure by which a target analyte is fortified into non-standard sample matrix to be analyzed for which the matrix has not been validated for a particular method.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
S,Standard conversion,"In video analysis, the transformation of one television system signal to another, for example, National Television System Committee (NTSC) to Phase Alternating Line (PAL).",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
S,Standard Operating Procedure (SOP),Written procedure that describes how to perform certain organization activities.,QIC (FSSB),2018-02-23
S,Standard Operating Procedure (SOP),A document which describes the regularly recurring operations in a workplace; the goal of such a document is to provide instructions for correct operations in the same manner each time they are carried out.,Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
S,Standard Operating Procedures (SOPs),a document which describes the regularly recurring operations in a workplace; the goal of such a document is to provide instructions for correct operations in the same manner each time they are carried out,(Not Provided),NA
S,Standard Reference Material,NIST definition should be used.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
S,Standard uncertainty,Measurement uncertainty expressed as the standard derivation of a fequency- or belief-based probability distribution.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Standard uncertainty,Uncertainty of the result of a measurement expressed as a standard deviation.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Standards Developing Organizations (SDOs),"SDOs include professional societies, industry and trade associations and membership organizations that develop standards within their area of expertise. They may develop standards with their own members or in cooperation with other SDOs and interested parties. SDOs in the United States may choose to develop standards that are submitted to ANSI for approval as American National Standards (ANS). They may also develop standards outside the ANSI accreditation and approval process.",QIC (FSSB),2018-02-23
S,State CODIS Administrator,The CODIS Administrator who serves as the central point of contact for a State and is responsible for ensuring other participating laboratories in that State comply with the terms and conditions for participation in the National DNA Index System.,Biology (Biology / DNA),2018-02-23
S,State DNA Index System (SDIS),See CODIS.,Biology (Biology / DNA),2018-02-23
S,Static penetrometer,A penetrometer which is pushed into the soil at a constant and slow rate of penetration.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Statistical significance,The level of statistical significance is the probability of obtaining the observed result - or a more exaggerated one - if the null hypothesis of no effect was true.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Steam distillation,A classical technique used to separate and concentrate ignitable liquid residues from fire debris samples by boiling the sample in water and condensing the vapors in order to recover the higher boiling point fraction. ASTM E 1385 is the historical standard describing this technique.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stereomicroscope,A microscope that provides a stereoscopic view of a sample.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stippling,"A pattern hand struck onto the surface of a mold using a steel die containing a selected design. The tip of the die is small and requires numerous, often overlapping, strikes.  These multiple strikes result in a fine pattern on the surface of the mold, and subsequent outsoles that come from that mold. Because of the random manner in which hand stippling is applied, it is unique to that specific mold.",Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Stochastic,"Chance, or random variation. See Stochastic effects.",Biology (Biology / DNA),2018-02-23
S,Stochastic,"In DNA testing, refers to random sampling error from extracts containing low levels of DNA and/or random variation in selection of alleles amplified at a particular locus. See Stochastic effects.  .",Biology (Biology / DNA),2018-02-23
S,Stochastic Effects,Possible effects include 1) peak height imbalance of sister alleles in a heterozygous pair; 2) loss of data (referred to as “allele drop out” when one or more alleles are missing at a locus and “locus drop out” when all alleles are missing from a locus); and 3) allele drop-in.    Stochastic effects are observed in a PCR-based DNA electrophoretic profile at one or more loci potentially a result of sampling variation (e.g. pipetting) of the target DNA that goes into the PCR as well as random events between primers and target DNA during PCR amplification. Stochastic effects generally occur when suboptimal or limiting quantities of DNA are tested.,Biology (Biology / DNA),2018-02-23
S,Stochastic Threshold,"The peak height value in a DNA electrophoretic profile above which it is reasonable to assume that, at a given locus, allelic dropout of a sister allele in a heterozygous pair has not occurred in a single source DNA sample; due to the possibility of shared alleles in mixed samples, the presence of allele peaks above the stochastic threshold is no guarantee that allele dropout did not occur in mixed DNA sample profiles.",Biology (Biology / DNA),2018-02-23
S,Stoichiometric mixture,A mixture in which the molecular concentrations are in the same ratio as in the balanced chemical reaction.   {Stoichiometry  n. The methodology and technology by which the quantities of reactants and products in chemical reactions are determined.}.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stoichiometry,The methodology and technology by which the quantities of reactants and products in chemical reactions are determined.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stone Hold,A stone held in a recessed area of a footwear outsole or tire tread that may or may not be replicated in an impression.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Stone line,"A sheet-like lag concentration of coarse fragments in surficial sediments. In cross section, the line may be marked only by scattered fragments or it may be a discrete layer of fragments. The fragments are more often pebbles or cobbles than stones. A stone line generally overlies material that was subject to weathering, soil formation, and erosion before deposition of the overlying material. Many stone lines seem to represent buried erosion pavements, originally formed by running water on the land surface and concurrently covered by surficial sediment.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stones,"Rock or mineral fragments between 250 and 600 mm in diameter if rounded, and 380 to 600 mm if flat. See also rock fragments.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stoniness,Classes based on the relative proportion of stones at or near the soil surface. Used as a phase distinction in mapping soils. See also rock fragments.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stony,"A stoniness class in which there are enough stones at or near the soil surface to be a continuing nuisance during operations that the mix the surface layer, but they do not make most such operations impractical.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Stony,Containing appreciable quantities of stones. See also rock fragments.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Storage,"In computer forensics, retrievable retention of data; electronic, electrostatic, or electrical hardware or other media into which data may be entered, and from which data may be retrieved.",Digital Evidence (Digital / Multimedia),2018-02-23
S,Storage,The means of location and preservation for an item of evidence or reference sample.,QIC (FSSB),2018-02-23
S,Storage media,Any object on which data is preserved.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
S,Storage media,Objects on which data can be stored.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
S,Stringency,A specific parameter used when searching a DNA database.,Biology (Biology / DNA),2018-02-23
S,Stringency,The specific conditions used in the hybridization of DNA.,Biology (Biology / DNA),2018-02-23
S,Structurally sound,Structural soundness refers to the correctness of the feet and legs of an animal.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Structure,See soil structure or crystal structure.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Sturation Stain,A bloodstain resulting from the accumulation of liquid blood in an absorbent material.,Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
S,Stutter,"An artifact of PCR amplification typically observed one or more repeat units smaller or larger than an STR allele in a DNA electrophoretic profile, may result from strand slippage during PCR amplification. A stutter peak is generally of lower RFU than the allele peak.  .",Biology (Biology / DNA),2018-02-23
S,Stutter ratio,The stutter peak height divided by its parent allele peak height.,Biology (Biology / DNA),2018-02-23
S,Styrene,"Ethenylbenzene, vinylbenzene; C6H5CHCH2; mw 104.15; bp 146˙C (295˙F); fp 31˙C (88˙F); CAS [100-42-5]. A common product of polymer pyrolysis. The monomer of polystyrene.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Subclinical,Without clinical or diagnostic manifestations.,Odontology (Crime Scene / Death Investigation),2018-02-23
S,Subdirectory,"In computer forensics, a directory object contained within another directory object in a filesystem.",Digital Evidence (Digital / Multimedia),2018-02-23
S,Subject acquisition profile,"In facial identification, the facial image capture criteria described in ANSI/NIST-ITL 1-2011.",Facial Identification (Digital / Multimedia),2018-02-23
S,Submersion,"The placement of a document(s) into an appropriate liquid to facilitate cleaning, unfolding, or separation of the document(s).",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
S,Subordinate documentation,"Internal documentation that is based on the content of the laboratory manual, and provides a framework for documenting and controlling laboratory operations.",Odontology (Crime Scene / Death Investigation),2018-02-23
S,Subrogation,The assumption by a third party (as a second creditor or an insurance company) of another's legal right to collect a debt or damages.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Subspecies,The taxonomic category that designates subunits of species which are morphologically distinguishable and at least partially isolated geographically but interbreed successfully with other subspecies of the same species where their ranges adjoin and overlap.,Wildlife Forensics (Biology / DNA),2018-02-23
S,Substantive change,"A substantive change is one that directly and materially affects the standard.  Examples of substantive changes are below: • “shall” to “should” or “should” to “shall”; • addition, deletion or revision of requirements, regardless of the number of changes; • addition of mandatory compliance with referenced standards.",QIC (FSSB),2018-02-23
S,Substrate,Material which may contain a substance of interest. Also known as matrix.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Substrate,The sample material from which a substance of interest (analyte) is removed for analysis.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Substrate background products,See interfering products.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Sub-surface deposition,"The placement of human remains under ground or surface area, i.e.; buried or underwater.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Sufficient Quantity,"The amount of writing required to assess the writer’s range of variation, based on the writing examined.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
S,Suicide,Death resulting fron intentional self-inflicted act.,MDI (Crime Scene / Death Investigation),2018-02-23
S,Sulfur,A substance used for casting snow impressions.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Sulfur Cement,"A reinforced modified sulfur material, available in flake form that is a safer, stronger alternative to using pure sulfur in casting snow impressions.",Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Sulfuric horizon,A horizon composed either of mineral or organic soil material that has both pH,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Sum Peak,A spectral peak occurring at twice the energy of an individual peak. Generally only seen where the element is the major component and is present in high abundance.,Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
S,"Summation curve, particle size",A curve showing the accumulative percentage by mass of particles within increasing (or decreasing) size limits as a function of diameter; the percent by mass of each size fraction is plotted accumulatively on the ordinate as a function of the total range of diameters represented in the sample plotted on the abscissa.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Summit,"The highest point of any landform remanant, hill, or mountain.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Superimposition,A comparison method performed by placing one object over the other.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Superimposition,Use of a registered overlay as an aid to comparison.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
S,Supersaturated solution,A solution of a substance in which the concentration exceeds saturation.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Supplier’s declaration,Attestation by the product supplier that a product supplied is in conformity with specified requirements.,QIC (FSSB),2018-02-23
S,Supraglacial,"Carried upon, deposited from, or pertaining to the top surface of a glacier or ice sheet; said of meltwater streams, till, drift, etc.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Surface area,"The area of the solid particles in a given quantity of soil or porous medium. (i) BET surface area is that area on which gas molecules, such as N2 or O2, can adsorb which normally does not include the planar surface of expanding clays such as smectites. (ii) EGME surface area is that area on which ethylene glycol monoethyl ether can adsorb which normally includes the planar surface of expanding clays such as smectites. See also specific surface.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Surface deposition,The placement of human remains on the surface of the ground.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
S,Surface drainage,"Used to refer to surface movement of excess water - includes such terms as ponded, flooded, slow, and rapid.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Surface soil,"The uppermost part of the soil, ordinarily moved in tillage, or its equivalent in uncultivated soils and ranging in depth from 7 to 25 cm. Frequently designated as the plow layer, the surface layer, the Ap layer, or the Ap horizon. See also topsoil.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Surface-charge density,The excess of negative or positive charge per unit of surface area of soil or soil mineral.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Surficial,"Pertaining to, or occurring on, a surface, esp. the surface of the Earth.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Surrogate chemical analysis,The  use of coincident chemical or physical evidence present with a contaminant of concern to identify the date or source of a contaminant release.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Surveillance,The act of monitoring or observing whether an item or activity conforms to specific requirements. A surveillance activity is typically less extensive than an audit and concentrates on a single or selected few activity(ies) or item(s). It is usually conducted more frequently than an audit.  Reports are issued to cognizant personnel or groups with a request for corrective action if required.,QIC (FSSB),2018-02-23
S,Suspension,Temporary invalidation of the statement of conformity for all or part of the specified scope of attestation.,QIC (FSSB),2018-02-23
S,Swabbing,"Sampling using a dry or solvent-wetted solid substrate, such as cotton wool, fabric, or synthetic fibers.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Swamp,An area saturated with water throughout much of the year but with the surface of the soil usually not deeply submerged. Usually characterized by tree or shrub vegetation. See also marsh and miscellaneous areas.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Synchrotron,A large device (usually 100-200 meters in diameter) that produces extremely intense light by accelerating electrons close to the speed of light around an almost circular track.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Synthesis,The formation of one chemical compound from another.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Synthesis process,A chemical reaction or series of chemical reactions in which molecules or parts of molecules are combined to create a new molecule.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Synthetic Rubber,Any artificial elastomer that simulates the qualities of natural rubber.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
S,Syrofoam,Trademark of The Dow Chemical Company for expanded polystyrene.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,System bias,"Errors repeatedly introduced through automation (for example, errors in template generation or comparison).","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
S,System bias,"Errors repeatedly introduced through operational practices in an organization or unit (for example, improper lighting or camera position guidance).","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
S,System Dead Time,The time (expressed as a percent) that the EDS is not able to process x-rays.,Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
S,System Live Time,"The time that the EDS electronics are available to accept and process incoming x-rays. Live time is expressed as a percentage of real time. Dead time is the opposite complement to this, i.e., 55% live time equals 45% dead time.",Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
S,System Peaks,Also known as stray radiation. Peaks that can occur in the x-ray spectrum resulting from interaction of the electron beam or fluorescence radiation with components of the SEM itself.,Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
S,System time,"In computer forensics, the time generated by the system clock and used by the operating system.",Digital Evidence (Digital / Multimedia),2018-02-23
S,Systematic error,"The tendency of a set of measurements to consistently (on average) underestimate or overestimate the ""true"" value of a measurand by a given value or percentage.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
S,Systematic search pattern,"A method that employs a specific search sequence to increase accuracy and minimize omissions, while maximizing coverage.  Such patterns usually have set start and stop points.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
T,T1/2/3 CSI,"Skill tiers defines for crime scene investigation officers, with 1 being the most basic level of training (usually volume crime offenses only), 2 being the range of volume, serious, and major crime investigations, and 3 being trained in crime scene management/the coordination of complex investigations.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Tableting process,The act of placing the finished product into dosage forms or into smaller salable units for distribution.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Tactile reinforcement,Any reward perceptible by touch.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
T,Taggant,Nitro compounds that vaporize rapidly and are added to enhance the detection of plastic explosives by instrumental analysis.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
T,Taggant,A chemical marker added to plastic bonded explosives to aid in detection by either instrumental or canine screening.   DISCUSSION  - Examples of taggants used in plastic bonded explosives include dimethyl dinitrobutane (DMDNB) and ethylene glycol dinitrate (EGDN).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Take-off Angle,Angle between the specimen surface and the x-ray detector axis.,Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
T,Talc,"Si4Mg3O10(OH)2 A trioctahedral magnesium silicate mineral with a 2:1 type layer structure but without isomorphous substitution. May occur in soils as an inherited mineral. See also Appendix I, Table A3.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Talud,"A short, steep slope formed gradually at the downslope margin of a field by deposition against a hedge, a stone wail, or other similar barrier.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Talus,"Rock fragments of any size or shape (usually coarse and angular) derived from and lying at the base of a cliff or very steep rock slope. The accumulated mass of such loose, broken rock formed chiefly by falling, rolling, or sliding.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Tandem,Tires set immediately one behind the other.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
T,Tandem repeat sequences,"Multiple copies of the same (or similar) base sequence on a chromosome immediately adjacent to each other (e.g., STR, VNTR).",Biology (Biology / DNA),2018-02-23
T,Tape lift,A collection device consisting of a piece of adhesive (pressure-sensitive) tape; the adhesive surface is pressed to the area to be sampled and then adhered to a backing material such as a laminate sheet in order to preserve the sample.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Taphonomy,the study of the processes and conditions of remains resulting after death,(Not Provided),NA
T,Taphonomy,The study of the processes affecting remains after death.,Anthropology (Crime Scene / Death Investigation),2018-02-23
T,Taphonomy,The study of the processes and conditions of remains resulting after death.,Odontology (Crime Scene / Death Investigation),2018-02-23
T,Taphonomy,All of the processes resulting in the decomposition or preservation of organic material. Also pertains to the study of the processes affecting remains between death and discovery.,Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
T,Taq polymerase,An enzyme derived from the Thermus aquaticus bacteria that is capable of withstanding near boiling temperatures; widely used for PCR amplifications because of its thermal stable nature.,Biology (Biology / DNA),2018-02-23
T,Target,A surface onto which blood has been deposited.,Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
T,Target,The odor/scent for which the canine is trained to respond.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
T,Target compound analysis (TCA),"A method of mass spectral data analysis by which the data system searches specified retention time windows for the mass spectra of specific compounds expected to elute within each window.  According to ASTM E1618, TCA should only be used in conjunction with other data analysis techniques.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Target compound chromatogram (TCC),Graphical display of reconstructed chromatographic data resulting from target compound analysis which are basically stick plots of peak area versus retention time for each compound identified.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Target trail,A trail that was laid by a target subject that matches the scent article presented to the canine. (See Matching scent trail).,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
T,Target training,The process of conditioning an animal to touch a particular object.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
T,Task-irrelevant information ,"Information that is not helpful for for assessing the strength (probative value) of scientific observations or data; information that should not be considered when making a particular scientific judgment or decision, or when performing a particular scientific task.",(Not Provided),NA
T,Task-relevant information ,"Information that is helpful for assessing the strength (probative value) of scientific observations or data; information that should be considered when making a particular scientific judgment or decision, or when performing a",(Not Provided),NA
T,Taxadjunct,"A soil that is correlated as a recognized, existing soil series for the purpose of expediency. They are so like the soils of the defined series in morphology, composition, and behavior that little or nothing is gained by adding a new series.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Taxon,A group of one or more organisms grouped and ranked according to a set of qualitative characteristics; a type of set.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Taxonomic authorities,"Literature references accepted by the relevant scientific community and providing the classification (e.g. family, genus, species) for a group of organisms.",Wildlife Forensics (Biology / DNA),2018-02-23
T,Taxonomic Identification,"Analyses to establish the classification of an organism to family, genus, species, etc. These analyses are based on class characters diagnostic for the taxonomic level in question.",Wildlife Forensics (Biology / DNA),2018-02-23
T,Taxonomy,"A branch of science concerned with classification of organisms, including systematics and nomenclature.",Wildlife Forensics (Biology / DNA),2018-02-23
T,Taxonomy,The science of identifying and naming species with the intent of arranging them into a classification.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Tears,Fractures that have occurred in footwear outsoles or tire treads that reflect irregular edges. Tears are randomly acquired characteristics.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
T,Technical casework review,"the detailed review of bench notes, data, observations and analytical results that form the basis for the conclusion(s)",(Not Provided),NA
T,Technical Competence,"The laboratories or bodies performing one or more steps in the chain must maintain and supply evidence of technical competence (e.g., by maintaining appropriate training records, participating in inter-laboratory comparisons, and by demonstrating that they are accredited by a recognized accreditation body).",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
T,Technical Director,An individual (however named) who is responsible for the technical oversight of the toxicology laboratory.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
T,Technical Director (Breath Alcohol),An individual (however named) who is responsible for the technical oversight of the Breath Alcohol Program.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
T,Technical leader,An employee who is accountable for the technical operations of the laboratory and who is authorized to stop or suspend laboratory operations.,QIC (FSSB),2018-02-23
T,Technical notes,"A type of record that consists of any examination items created or used during the testing process; may include laboratory notes, photographs and radiographs, computer printouts, CDs containing examination documentation, copies of medical and dental records.",Odontology (Crime Scene / Death Investigation),2018-02-23
T,Technical procedure,Documented operation (procedure) carried out in a organization by trained technical or scientific personnel.,QIC (FSSB),2018-02-23
T,Technical review,"An evaluation of reports, notes, data, and other documents to ensure there is an appropriate and sufficient basis for the scientific conclusions.",QIC (FSSB),2018-02-23
